subscription_id,user_id,plan_type,monthly_revenue,subscription_start,is_churned
283,283,Professional,2999,2025-12-15,0
284,284,Starter,999,2026-06-15,1
285,285,Professional,2999,2024-11-12,0
286,286,Professional,2999,2025-07-26,0
287,287,Starter,999,2026-04-18,0
288,288,Starter,999,2025-04-03,0
289,289,Starter,999,2025-09-21,0
290,290,Starter,999,2024-11-24,0
291,291,Starter,999,2025-03-21,1
292,292,Starter,999,2025-10-16,0
293,293,Professional,2999,2026-03-22,0
294,294,Starter,999,2025-10-19,0
295,295,Starter,999,2026-01-27,0
296,296,Professional,2999,2024-07-22,0
297,297,Starter,999,2025-12-02,1
298,298,Starter,999,2024-11-23,0
299,299,Starter,999,2025-01-19,0
300,300,Professional,2999,2025-09-09,0
301,301,Starter,999,2025-06-24,1
302,302,Enterprise,9999,2025-07-11,0
303,303,Professional,2999,2024-10-13,0
304,304,Starter,999,2025-05-19,0
305,305,Professional,2999,2026-05-21,0
306,306,Enterprise,9999,2025-10-04,0
307,307,Professional,2999,2025-06-25,1
308,308,Starter,999,2024-07-08,0
309,309,Professional,2999,2025-09-24,0
310,310,Starter,999,2025-06-09,0
311,311,Starter,999,2025-12-05,0
312,312,Professional,2999,2026-03-19,0
313,313,Starter,999,2026-02-08,0
314,314,Professional,2999,2025-02-26,0
315,315,Professional,2999,2025-07-17,0
316,316,Professional,2999,2024-08-02,0
317,317,Professional,2999,2024-11-25,0
318,318,Starter,999,2025-11-25,0
319,319,Enterprise,9999,2025-05-21,0
320,320,Starter,999,2024-12-05,0
321,321,Starter,999,2024-12-21,1
322,322,Starter,999,2025-11-26,1
323,323,Enterprise,9999,2025-11-24,0
324,324,Starter,999,2026-01-13,0
325,325,Starter,999,2025-05-22,0
326,326,Starter,999,2024-11-29,0
327,327,Professional,2999,2025-09-18,0
328,328,Starter,999,2026-03-08,0
329,329,Professional,2999,2025-10-19,0
330,330,Professional,2999,2026-05-29,0
331,331,Starter,999,2025-09-12,0
332,332,Starter,999,2024-11-12,0
333,333,Professional,2999,2026-02-14,0
334,334,Professional,2999,2024-12-23,0
335,335,Starter,999,2025-03-20,0
336,336,Professional,2999,2026-03-26,0
337,337,Professional,2999,2024-08-09,0
338,338,Professional,2999,2025-04-15,0
339,339,Professional,2999,2025-09-23,0
340,340,Professional,2999,2025-04-04,0
341,341,Starter,999,2024-11-21,0
342,342,Starter,999,2025-06-12,0
343,343,Starter,999,2024-10-20,1
344,344,Professional,2999,2026-04-07,0
345,345,Starter,999,2025-06-02,0
346,346,Starter,999,2025-06-22,0
347,347,Starter,999,2025-04-06,0
348,348,Professional,2999,2026-02-25,1
349,349,Professional,2999,2024-09-01,0
350,350,Professional,2999,2025-04-18,0
351,351,Starter,999,2026-02-28,1
352,352,Starter,999,2025-02-05,0
353,353,Starter,999,2026-04-15,0
354,354,Starter,999,2026-02-12,0
355,355,Professional,2999,2026-04-14,0
356,356,Enterprise,9999,2025-01-29,0
357,357,Starter,999,2025-06-03,0
358,358,Professional,2999,2024-07-15,0
359,359,Starter,999,2025-11-12,1
360,360,Professional,2999,2026-03-29,0
361,361,Professional,2999,2024-10-14,0
362,362,Professional,2999,2025-10-20,0
363,363,Professional,2999,2025-02-19,0
364,364,Professional,2999,2025-04-22,0
365,365,Starter,999,2026-06-13,0
366,366,Starter,999,2025-10-09,0
367,367,Starter,999,2026-01-29,1
368,368,Starter,999,2025-11-15,0
369,369,Professional,2999,2024-07-30,0
370,370,Starter,999,2025-04-26,0
371,371,Professional,2999,2026-02-16,0
372,372,Professional,2999,2025-04-04,0
373,373,Professional,2999,2025-11-04,0
374,374,Professional,2999,2025-06-03,0
375,375,Starter,999,2025-04-18,0
376,376,Professional,2999,2026-02-25,0
377,377,Enterprise,9999,2025-07-21,0
378,378,Professional,2999,2025-10-11,0
379,379,Enterprise,9999,2025-12-06,0
380,380,Professional,2999,2025-01-17,0
381,381,Professional,2999,2026-03-03,0
382,382,Professional,2999,2024-10-15,0
383,383,Starter,999,2026-05-30,1
384,384,Starter,999,2024-08-02,1
385,385,Starter,999,2026-05-30,1
386,386,Starter,999,2024-08-03,0
387,387,Starter,999,2025-06-27,1
388,388,Professional,2999,2025-07-15,0
389,389,Starter,999,2025-12-08,1
390,390,Professional,2999,2026-05-17,0
391,391,Professional,2999,2024-12-15,0
392,392,Enterprise,9999,2025-01-14,1
393,393,Professional,2999,2024-10-14,0
394,394,Starter,999,2026-02-08,0
395,395,Starter,999,2025-02-08,0
396,396,Starter,999,2025-04-08,0
397,397,Professional,2999,2025-06-28,0
398,398,Starter,999,2024-12-23,1
399,399,Professional,2999,2024-10-29,0
400,400,Professional,2999,2025-12-20,0
401,401,Starter,999,2024-11-02,0
402,402,Enterprise,9999,2025-12-25,0
403,403,Starter,999,2024-07-06,1
404,404,Starter,999,2024-11-30,0
405,405,Starter,999,2026-02-07,0
406,406,Professional,2999,2024-11-30,0
407,407,Starter,999,2026-04-07,0
408,408,Professional,2999,2025-05-14,0
409,409,Starter,999,2026-05-11,1
410,410,Starter,999,2025-01-28,0
411,411,Starter,999,2024-11-10,1
412,412,Enterprise,9999,2024-10-12,0
413,413,Professional,2999,2025-12-31,1
414,414,Professional,2999,2024-10-19,0
415,415,Starter,999,2025-10-01,0
416,416,Starter,999,2024-07-06,0
417,417,Starter,999,2026-04-29,0
418,418,Professional,2999,2024-08-30,0
419,419,Starter,999,2025-01-15,0
420,420,Starter,999,2024-11-03,0
421,421,Starter,999,2026-06-13,1
422,422,Starter,999,2026-04-26,0
423,423,Starter,999,2025-04-12,0
424,424,Professional,2999,2026-02-05,0
425,425,Starter,999,2025-03-06,1
426,426,Professional,2999,2025-09-29,0
427,427,Starter,999,2025-07-13,0
428,428,Starter,999,2026-05-20,0
429,429,Starter,999,2025-08-05,0
430,430,Starter,999,2024-08-10,1
431,431,Professional,2999,2025-12-16,0
432,432,Starter,999,2025-04-17,1
433,433,Professional,2999,2024-12-23,0
434,434,Starter,999,2024-10-04,0
435,435,Starter,999,2025-12-28,0
436,436,Professional,2999,2025-11-06,0
437,437,Starter,999,2024-10-01,0
438,438,Starter,999,2025-06-14,0
439,439,Professional,2999,2024-12-03,0
440,440,Starter,999,2025-09-28,0
441,441,Professional,2999,2024-12-31,1
442,442,Professional,2999,2026-03-17,1
443,443,Starter,999,2025-07-27,0
444,444,Professional,2999,2025-06-02,0
445,445,Professional,2999,2025-12-30,0
446,446,Professional,2999,2024-08-21,0
447,447,Starter,999,2026-05-07,0
448,448,Starter,999,2026-03-14,0
449,449,Professional,2999,2025-12-23,0
450,450,Starter,999,2024-12-23,0
451,451,Starter,999,2025-08-12,0
452,452,Professional,2999,2024-11-06,0
453,453,Professional,2999,2025-12-17,1
454,454,Starter,999,2024-10-06,0
455,455,Starter,999,2026-01-16,1
456,456,Starter,999,2025-10-08,0
457,457,Professional,2999,2026-03-23,1
458,458,Professional,2999,2025-12-22,0
459,459,Starter,999,2025-04-26,0
460,460,Professional,2999,2025-11-08,0
461,461,Starter,999,2024-09-15,0
462,462,Professional,2999,2026-05-07,0
463,463,Professional,2999,2025-08-16,0
464,464,Starter,999,2026-01-05,0
465,465,Professional,2999,2026-05-01,0
466,466,Starter,999,2024-12-27,1
467,467,Professional,2999,2025-04-22,1
468,468,Professional,2999,2025-06-27,0
469,469,Starter,999,2024-07-23,0
470,470,Starter,999,2025-01-21,0
471,471,Starter,999,2025-08-24,0
472,472,Starter,999,2025-04-04,0
473,473,Starter,999,2026-01-19,0
474,474,Professional,2999,2025-01-17,0
475,475,Starter,999,2026-01-24,1
476,476,Starter,999,2025-09-30,0
477,477,Enterprise,9999,2024-08-29,0
478,478,Starter,999,2024-12-27,0
479,479,Starter,999,2025-06-29,0
480,480,Starter,999,2025-01-30,1
481,481,Enterprise,9999,2026-05-09,0
482,482,Starter,999,2026-05-05,1
483,483,Professional,2999,2024-11-17,1
484,484,Starter,999,2024-08-17,0
485,485,Starter,999,2025-01-17,0
486,486,Professional,2999,2025-08-23,0
487,487,Starter,999,2024-08-27,0
488,488,Starter,999,2024-09-05,0
489,489,Starter,999,2025-11-06,1
490,490,Starter,999,2024-09-04,0
491,491,Professional,2999,2024-10-06,1
492,492,Starter,999,2024-11-23,1
493,493,Starter,999,2024-10-27,1
494,494,Starter,999,2025-05-23,1
495,495,Professional,2999,2025-07-09,0
496,496,Starter,999,2025-11-24,1
497,497,Professional,2999,2026-04-23,0
498,498,Starter,999,2026-03-27,0
499,499,Starter,999,2025-01-20,1
500,500,Starter,999,2024-09-30,0
501,501,Professional,2999,2025-08-11,1
502,502,Starter,999,2024-08-27,1
503,503,Professional,2999,2024-09-28,0
504,504,Professional,2999,2025-05-08,1
505,505,Professional,2999,2025-07-12,1
506,506,Professional,2999,2024-11-07,0
507,507,Starter,999,2024-11-11,0
508,508,Starter,999,2024-07-22,0
509,509,Starter,999,2025-04-21,0
510,510,Starter,999,2024-10-17,0
511,511,Starter,999,2024-09-20,0
512,512,Professional,2999,2024-12-18,0
513,513,Starter,999,2024-11-05,1
514,514,Starter,999,2024-11-13,0
515,515,Starter,999,2025-12-14,0
516,516,Professional,2999,2025-04-24,0
517,517,Starter,999,2025-09-15,0
518,518,Starter,999,2025-09-13,0
519,519,Professional,2999,2025-10-10,0
520,520,Starter,999,2026-03-26,0
521,521,Starter,999,2024-08-23,0
522,522,Professional,2999,2026-02-18,0
523,523,Starter,999,2026-04-21,0
524,524,Professional,2999,2025-03-30,0
525,525,Starter,999,2025-05-14,0
526,526,Professional,2999,2026-01-14,0
527,527,Starter,999,2024-07-04,0
528,528,Starter,999,2026-02-24,0
529,529,Starter,999,2025-05-23,0
530,530,Starter,999,2025-01-08,0
531,531,Professional,2999,2026-05-13,0
532,532,Professional,2999,2026-05-07,0
533,533,Professional,2999,2025-09-06,0
534,534,Starter,999,2025-10-31,1
535,535,Starter,999,2024-08-03,0
536,536,Starter,999,2025-08-08,1
537,537,Enterprise,9999,2025-03-11,0
538,538,Starter,999,2026-05-14,1
539,539,Professional,2999,2025-06-17,0
540,540,Professional,2999,2024-11-17,0
541,541,Professional,2999,2025-04-14,0
542,542,Starter,999,2026-05-29,0
543,543,Starter,999,2025-11-30,0
544,544,Professional,2999,2024-07-30,0
545,545,Starter,999,2025-12-28,1
546,546,Starter,999,2025-01-25,0
547,547,Professional,2999,2025-05-31,1
548,548,Starter,999,2025-04-25,1
549,549,Professional,2999,2025-10-25,0
550,550,Starter,999,2026-01-22,1
551,551,Enterprise,9999,2026-01-17,0
552,552,Starter,999,2025-01-05,1
553,553,Starter,999,2026-03-30,1
554,554,Enterprise,9999,2024-07-15,0
555,555,Starter,999,2026-03-09,0
556,556,Starter,999,2025-05-19,0
557,557,Starter,999,2025-05-09,0
558,558,Professional,2999,2025-01-11,0
559,559,Professional,2999,2024-11-25,0
560,560,Starter,999,2025-02-09,1
561,561,Starter,999,2024-11-07,0
562,562,Professional,2999,2025-11-12,0
563,563,Enterprise,9999,2024-11-02,0
564,564,Starter,999,2025-11-15,0
565,565,Starter,999,2025-09-29,1
566,566,Professional,2999,2024-06-25,0
567,567,Professional,2999,2024-11-15,0
568,568,Starter,999,2024-07-13,0
569,569,Starter,999,2024-11-22,1
570,570,Starter,999,2026-05-13,1
571,571,Starter,999,2026-03-15,0
572,572,Starter,999,2026-02-19,0
573,573,Professional,2999,2026-03-06,0
574,574,Professional,2999,2025-01-13,1
575,575,Starter,999,2026-03-19,0
576,576,Professional,2999,2025-04-29,0
577,577,Starter,999,2025-08-02,0
578,578,Starter,999,2025-09-09,0
579,579,Starter,999,2026-05-07,1
580,580,Starter,999,2026-06-09,1
581,581,Starter,999,2026-04-23,0
582,582,Starter,999,2025-08-24,0
583,583,Starter,999,2026-04-15,0
584,584,Starter,999,2024-10-27,0
585,585,Starter,999,2026-05-28,0
586,586,Starter,999,2024-07-14,0
587,587,Starter,999,2026-01-25,0
588,588,Starter,999,2025-12-03,0
589,589,Starter,999,2025-01-07,0
590,590,Professional,2999,2025-11-18,0
591,591,Professional,2999,2024-08-27,0
592,592,Starter,999,2025-10-22,0
593,593,Starter,999,2025-12-24,1
594,594,Starter,999,2026-03-12,0
595,595,Starter,999,2024-10-23,1
596,596,Enterprise,9999,2024-11-17,0
597,597,Starter,999,2025-12-24,1
598,598,Starter,999,2025-11-02,0
599,599,Starter,999,2024-12-22,0
600,600,Enterprise,9999,2025-11-18,0
601,601,Professional,2999,2024-08-07,0
602,602,Professional,2999,2025-12-21,0
603,603,Starter,999,2026-01-09,0
604,604,Starter,999,2024-10-25,1
605,605,Starter,999,2024-06-29,1
606,606,Professional,2999,2026-03-23,0
607,607,Starter,999,2025-09-17,0
608,608,Professional,2999,2026-02-21,0
609,609,Enterprise,9999,2025-09-05,0
610,610,Starter,999,2025-04-06,0
611,611,Starter,999,2025-11-07,0
612,612,Starter,999,2025-09-25,0
613,613,Starter,999,2026-01-18,0
614,614,Starter,999,2025-10-13,0
615,615,Professional,2999,2025-05-09,0
616,616,Starter,999,2024-07-14,0
617,617,Starter,999,2025-05-21,1
618,618,Starter,999,2025-07-05,1
619,619,Professional,2999,2026-06-01,0
620,620,Starter,999,2026-05-25,0
621,621,Professional,2999,2025-11-02,0
622,622,Professional,2999,2025-06-09,0
623,623,Professional,2999,2025-12-22,0
624,624,Starter,999,2025-07-09,1
625,625,Starter,999,2024-08-24,0
626,626,Starter,999,2025-02-03,0
627,627,Starter,999,2024-08-30,0
628,628,Enterprise,9999,2024-07-16,0
629,629,Enterprise,9999,2025-01-08,0
630,630,Starter,999,2024-12-12,0
631,631,Professional,2999,2025-03-26,0
632,632,Starter,999,2025-08-24,1
633,633,Starter,999,2025-10-31,0
634,634,Professional,2999,2025-12-14,0
635,635,Starter,999,2025-11-16,0
636,636,Starter,999,2025-10-02,1
637,637,Starter,999,2024-08-11,0
638,638,Professional,2999,2024-08-02,0
639,639,Starter,999,2025-02-20,1
640,640,Professional,2999,2025-10-27,0
641,641,Professional,2999,2025-05-01,0
642,642,Starter,999,2024-10-06,1
643,643,Starter,999,2024-10-11,0
644,644,Professional,2999,2026-04-24,0
645,645,Starter,999,2024-11-26,1
646,646,Starter,999,2025-05-26,0
647,647,Starter,999,2025-11-30,0
648,648,Professional,2999,2025-12-25,0
649,649,Starter,999,2026-01-08,0
650,650,Professional,2999,2025-01-23,0
651,651,Enterprise,9999,2025-01-15,0
652,652,Starter,999,2025-03-13,1
653,653,Professional,2999,2025-06-27,0
654,654,Enterprise,9999,2024-07-14,0
655,655,Starter,999,2025-02-28,0
656,656,Professional,2999,2025-09-05,0
657,657,Enterprise,9999,2026-06-16,0
658,658,Enterprise,9999,2025-03-18,0
659,659,Professional,2999,2024-10-26,1
660,660,Starter,999,2026-02-22,0
661,661,Enterprise,9999,2026-05-11,0
662,662,Enterprise,9999,2025-09-03,0
663,663,Professional,2999,2025-06-10,0
664,664,Professional,2999,2024-08-26,0
665,665,Enterprise,9999,2025-09-28,0
666,666,Starter,999,2026-06-18,0
667,667,Enterprise,9999,2026-02-20,0
668,668,Starter,999,2025-12-18,1
669,669,Starter,999,2025-10-22,1
670,670,Professional,2999,2025-09-27,0
671,671,Starter,999,2025-10-03,0
672,672,Professional,2999,2024-12-28,0
673,673,Starter,999,2026-05-07,0
674,674,Starter,999,2024-12-17,1
675,675,Professional,2999,2025-12-25,0
676,676,Starter,999,2025-04-08,0
677,677,Starter,999,2024-08-05,0
678,678,Starter,999,2025-04-24,0
679,679,Starter,999,2025-06-13,1
680,680,Professional,2999,2026-03-06,0
681,681,Starter,999,2025-09-09,0
682,682,Professional,2999,2024-08-15,0
683,683,Starter,999,2025-06-20,0
684,684,Starter,999,2025-05-22,0
685,685,Starter,999,2025-08-31,1
686,686,Enterprise,9999,2025-05-19,0
687,687,Professional,2999,2026-06-01,0
688,688,Professional,2999,2024-12-11,1
689,689,Starter,999,2026-01-06,0
690,690,Starter,999,2024-12-02,0
691,691,Professional,2999,2026-05-03,0
692,692,Starter,999,2025-05-12,1
693,693,Professional,2999,2025-12-01,0
694,694,Starter,999,2025-04-07,1
695,695,Professional,2999,2026-04-13,0
696,696,Starter,999,2024-07-08,0
697,697,Starter,999,2026-06-01,0
698,698,Starter,999,2025-04-26,0
699,699,Professional,2999,2025-09-04,0
700,700,Professional,2999,2025-08-08,0
701,701,Starter,999,2026-04-25,0
702,702,Starter,999,2026-04-02,0
703,703,Professional,2999,2025-04-15,0
704,704,Starter,999,2024-10-04,0
705,705,Starter,999,2024-09-20,0
706,706,Starter,999,2025-08-21,1
707,707,Starter,999,2026-01-08,0
708,708,Starter,999,2025-05-29,0
709,709,Starter,999,2025-03-19,0
710,710,Starter,999,2026-05-22,0
