user_id,plan_type,monthly_revenue,churn_probability,risk_level,segment,recommendation
31,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
32,Starter,999,0.0025,Low,At-Risk Users,No Action Needed
33,Starter,999,0.3125,Low,Normal Users,No Action Needed
34,Starter,999,0.95,High,Normal Users,Offer 20% Discount
35,Professional,2999,0.0086666666666666,Low,At-Risk Users,No Action Needed
36,Professional,2999,0.03,Low,Normal Users,No Action Needed
37,Starter,999,0.4123650793650792,Low,Normal Users,No Action Needed
38,Starter,999,0.6431785714285715,Medium,Normal Users,Email Engagement Campaign
39,Starter,999,0.5249574314574313,Medium,At-Risk Users,Provide Product Training
40,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
41,Starter,999,0.617452380952381,Medium,Normal Users,Email Engagement Campaign
42,Professional,2999,0.1280714285714285,Low,Normal Users,No Action Needed
43,Professional,2999,0.7,Medium,Normal Users,Email Engagement Campaign
44,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
45,Professional,2999,0.2804404761904761,Low,At-Risk Users,No Action Needed
46,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
47,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
48,Starter,999,0.09,Low,Normal Users,No Action Needed
49,Starter,999,0.0230079365079365,Low,At-Risk Users,No Action Needed
50,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
51,Starter,999,0.3070158730158727,Low,At-Risk Users,No Action Needed
52,Professional,2999,0.04,Low,At-Risk Users,No Action Needed
53,Starter,999,0.031,Low,At-Risk Users,No Action Needed
54,Starter,999,0.1416609779109779,Low,Normal Users,No Action Needed
55,Starter,999,0.4953333333333332,Low,At-Risk Users,No Action Needed
56,Professional,2999,0.035,Low,At-Risk Users,No Action Needed
57,Starter,999,0.0,Low,At-Risk Users,No Action Needed
58,Starter,999,0.0363333333333333,Low,At-Risk Users,No Action Needed
59,Starter,999,0.0399999999999999,Low,At-Risk Users,No Action Needed
60,Professional,2999,0.72,Medium,At-Risk Users,Provide Product Training
61,Starter,999,0.5148759296259297,Medium,At-Risk Users,Provide Product Training
62,Starter,999,0.1316939226718301,Low,At-Risk Users,No Action Needed
63,Starter,999,0.3950000000000001,Low,At-Risk Users,No Action Needed
64,Starter,999,0.2,Low,At-Risk Users,No Action Needed
65,Starter,999,0.309095238095238,Low,At-Risk Users,No Action Needed
66,Starter,999,0.0,Low,At-Risk Users,No Action Needed
67,Starter,999,0.11,Low,At-Risk Users,No Action Needed
68,Starter,999,0.1379353563103563,Low,At-Risk Users,No Action Needed
69,Professional,2999,0.01,Low,At-Risk Users,No Action Needed
70,Professional,2999,0.0245238095238095,Low,At-Risk Users,No Action Needed
71,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
72,Starter,999,0.5062182539682538,Medium,At-Risk Users,Provide Product Training
73,Professional,2999,0.2136150793650794,Low,At-Risk Users,No Action Needed
74,Professional,2999,0.024,Low,Normal Users,No Action Needed
75,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
76,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
77,Professional,2999,0.6455238095238096,Medium,At-Risk Users,Provide Product Training
78,Professional,2999,0.06,Low,At-Risk Users,No Action Needed
79,Starter,999,0.0972380952380952,Low,At-Risk Users,No Action Needed
80,Starter,999,0.32,Low,Normal Users,No Action Needed
81,Starter,999,0.0,Low,Normal Users,No Action Needed
82,Professional,2999,0.32875,Low,At-Risk Users,No Action Needed
83,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
84,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
85,Professional,2999,0.61,Medium,Normal Users,Email Engagement Campaign
86,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
87,Starter,999,0.0055555555555555,Low,Normal Users,No Action Needed
88,Enterprise,9999,0.0166666666666666,Low,Power Users,Upsell Enterprise Plan
89,Starter,999,0.3203690476190475,Low,At-Risk Users,No Action Needed
90,Professional,2999,0.0,Low,Normal Users,No Action Needed
91,Starter,999,0.3305595238095237,Low,Normal Users,No Action Needed
92,Starter,999,0.5485,Medium,At-Risk Users,Provide Product Training
93,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
94,Professional,2999,0.62,Medium,At-Risk Users,Provide Product Training
95,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
96,Professional,2999,0.01,Low,At-Risk Users,No Action Needed
97,Professional,2999,0.1608333333333333,Low,At-Risk Users,No Action Needed
98,Professional,2999,0.22,Low,Normal Users,No Action Needed
99,Starter,999,0.2755992063492061,Low,At-Risk Users,No Action Needed
100,Starter,999,0.01,Low,At-Risk Users,No Action Needed
101,Professional,2999,0.0,Low,Normal Users,No Action Needed
102,Professional,2999,0.4903452380952381,Low,At-Risk Users,No Action Needed
103,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
104,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
105,Professional,2999,0.3249841269841269,Low,At-Risk Users,No Action Needed
106,Starter,999,0.4576190476190476,Low,At-Risk Users,No Action Needed
107,Starter,999,0.2271388888888888,Low,At-Risk Users,No Action Needed
108,Starter,999,0.3301666666666666,Low,At-Risk Users,No Action Needed
109,Enterprise,9999,0.109,Low,Power Users,Upsell Enterprise Plan
110,Professional,2999,0.84,High,At-Risk Users,Offer 20% Discount
111,Professional,2999,0.0598333333333333,Low,At-Risk Users,No Action Needed
112,Professional,2999,0.0057142857142857,Low,At-Risk Users,No Action Needed
113,Starter,999,0.27475,Low,Normal Users,No Action Needed
114,Enterprise,9999,0.01,Low,Power Users,Upsell Enterprise Plan
115,Professional,2999,0.0,Low,Normal Users,No Action Needed
116,Starter,999,0.3044285714285714,Low,Normal Users,No Action Needed
117,Professional,2999,0.4842857142857142,Low,At-Risk Users,No Action Needed
118,Starter,999,0.4869047619047618,Low,At-Risk Users,No Action Needed
119,Starter,999,0.04,Low,Normal Users,No Action Needed
120,Starter,999,0.0483333333333333,Low,At-Risk Users,No Action Needed
121,Starter,999,0.4872857142857142,Low,Normal Users,No Action Needed
122,Starter,999,0.345547619047619,Low,At-Risk Users,No Action Needed
123,Starter,999,0.0230079365079365,Low,At-Risk Users,No Action Needed
124,Starter,999,0.1044444444444444,Low,At-Risk Users,No Action Needed
125,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
126,Starter,999,0.3228253968253967,Low,At-Risk Users,No Action Needed
127,Starter,999,0.7504444444444444,Medium,Normal Users,Email Engagement Campaign
128,Starter,999,0.0039285714285714,Low,At-Risk Users,No Action Needed
129,Starter,999,0.3022420634920633,Low,At-Risk Users,No Action Needed
130,Starter,999,0.0401666666666666,Low,At-Risk Users,No Action Needed
131,Starter,999,0.0016666666666666,Low,At-Risk Users,No Action Needed
132,Enterprise,9999,0.16,Low,Power Users,Upsell Enterprise Plan
133,Starter,999,0.6303333333333333,Medium,At-Risk Users,Provide Product Training
134,Starter,999,0.012,Low,At-Risk Users,No Action Needed
135,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
136,Starter,999,0.6054447496947496,Medium,At-Risk Users,Provide Product Training
137,Starter,999,0.4845905483405481,Low,Normal Users,No Action Needed
138,Starter,999,0.8,High,Normal Users,Offer 20% Discount
139,Professional,2999,0.04,Low,Normal Users,No Action Needed
140,Starter,999,0.0206666666666666,Low,Normal Users,No Action Needed
141,Starter,999,0.2158055555555555,Low,At-Risk Users,No Action Needed
142,Starter,999,0.0287539682539682,Low,Normal Users,No Action Needed
143,Professional,2999,0.0,Low,Normal Users,No Action Needed
144,Starter,999,0.4821746031746031,Low,At-Risk Users,No Action Needed
145,Starter,999,0.0025,Low,Normal Users,No Action Needed
146,Starter,999,0.2519126984126983,Low,At-Risk Users,No Action Needed
147,Starter,999,0.1297334054834054,Low,At-Risk Users,No Action Needed
148,Starter,999,0.6256309523809522,Medium,At-Risk Users,Provide Product Training
149,Professional,2999,0.0,Low,Normal Users,No Action Needed
150,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
151,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
152,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
153,Starter,999,0.0116666666666666,Low,At-Risk Users,No Action Needed
154,Starter,999,0.6480714285714286,Medium,Normal Users,Email Engagement Campaign
155,Enterprise,9999,0.4556666666666665,Low,Power Users,Upsell Enterprise Plan
156,Starter,999,0.1297334054834054,Low,At-Risk Users,No Action Needed
157,Professional,2999,0.0243333333333333,Low,At-Risk Users,No Action Needed
158,Starter,999,0.3492857142857142,Low,At-Risk Users,No Action Needed
159,Professional,2999,0.0,Low,Normal Users,No Action Needed
160,Starter,999,0.0121428571428571,Low,Normal Users,No Action Needed
161,Starter,999,0.02,Low,At-Risk Users,No Action Needed
162,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
163,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
164,Starter,999,0.2278492063492062,Low,At-Risk Users,No Action Needed
165,Starter,999,0.1337400099900099,Low,Normal Users,No Action Needed
166,Starter,999,0.0425,Low,Normal Users,No Action Needed
167,Professional,2999,0.0728690476190476,Low,At-Risk Users,No Action Needed
168,Starter,999,0.66,Medium,Normal Users,Email Engagement Campaign
169,Starter,999,0.3887460317460317,Low,At-Risk Users,No Action Needed
170,Starter,999,0.7803888888888889,Medium,Normal Users,Email Engagement Campaign
171,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
172,Starter,999,0.006,Low,At-Risk Users,No Action Needed
173,Professional,2999,0.01,Low,At-Risk Users,No Action Needed
174,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
175,Starter,999,0.3366904761904761,Low,Normal Users,No Action Needed
176,Starter,999,0.2741031746031745,Low,At-Risk Users,No Action Needed
177,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
178,Starter,999,0.0,Low,At-Risk Users,No Action Needed
179,Starter,999,0.0376666666666666,Low,At-Risk Users,No Action Needed
180,Professional,2999,0.01,Low,At-Risk Users,No Action Needed
181,Professional,2999,0.04,Low,At-Risk Users,No Action Needed
182,Professional,2999,0.0407619047619047,Low,At-Risk Users,No Action Needed
183,Starter,999,0.271,Low,Normal Users,No Action Needed
184,Starter,999,0.2805079365079364,Low,Normal Users,No Action Needed
185,Starter,999,0.027,Low,At-Risk Users,No Action Needed
186,Professional,2999,0.4241666666666666,Low,At-Risk Users,No Action Needed
187,Starter,999,0.06,Low,At-Risk Users,No Action Needed
188,Starter,999,0.0,Low,Normal Users,No Action Needed
189,Professional,2999,0.3458968253968252,Low,At-Risk Users,No Action Needed
190,Professional,2999,0.86,High,At-Risk Users,Offer 20% Discount
191,Enterprise,9999,0.59,Medium,Power Users,Email Engagement Campaign
192,Starter,999,0.74,Medium,Normal Users,Email Engagement Campaign
193,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
194,Starter,999,0.15,Low,Normal Users,No Action Needed
195,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
196,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
197,Starter,999,0.4103260905760907,Low,At-Risk Users,No Action Needed
198,Starter,999,0.3570941003441004,Low,At-Risk Users,No Action Needed
199,Starter,999,0.0558333333333333,Low,Normal Users,No Action Needed
200,Starter,999,0.309095238095238,Low,At-Risk Users,No Action Needed
201,Starter,999,0.2834365079365078,Low,Normal Users,No Action Needed
202,Starter,999,0.0133333333333333,Low,At-Risk Users,No Action Needed
203,Starter,999,0.1575,Low,Normal Users,No Action Needed
204,Starter,999,0.2834365079365078,Low,Normal Users,No Action Needed
205,Starter,999,0.3801666666666666,Low,At-Risk Users,No Action Needed
206,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
207,Professional,2999,0.19,Low,Normal Users,No Action Needed
208,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
209,Starter,999,0.4103260905760907,Low,At-Risk Users,No Action Needed
210,Professional,2999,0.2606507936507937,Low,At-Risk Users,No Action Needed
211,Starter,999,0.06,Low,At-Risk Users,No Action Needed
212,Starter,999,0.5823023088023087,Medium,Normal Users,Email Engagement Campaign
213,Starter,999,0.2842817460317459,Low,At-Risk Users,No Action Needed
214,Starter,999,0.4278333333333332,Low,Normal Users,No Action Needed
215,Starter,999,0.74,Medium,Normal Users,Email Engagement Campaign
216,Starter,999,0.025,Low,At-Risk Users,No Action Needed
217,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
218,Professional,2999,0.01,Low,Normal Users,No Action Needed
219,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
220,Starter,999,0.366760656010656,Low,At-Risk Users,No Action Needed
221,Starter,999,0.57,Medium,Normal Users,Email Engagement Campaign
222,Professional,2999,0.0033333333333333,Low,Normal Users,No Action Needed
223,Starter,999,0.1337400099900099,Low,Normal Users,No Action Needed
224,Professional,2999,0.0075,Low,At-Risk Users,No Action Needed
225,Starter,999,0.2644069264069263,Low,At-Risk Users,No Action Needed
226,Starter,999,0.0783333333333333,Low,At-Risk Users,No Action Needed
227,Starter,999,0.1889206349206349,Low,At-Risk Users,No Action Needed
228,Starter,999,0.5040689033189033,Medium,Normal Users,Email Engagement Campaign
229,Starter,999,0.0,Low,At-Risk Users,No Action Needed
230,Starter,999,0.0,Low,At-Risk Users,No Action Needed
231,Starter,999,0.19,Low,At-Risk Users,No Action Needed
232,Starter,999,0.6390357142857143,Medium,At-Risk Users,Provide Product Training
233,Starter,999,0.7733333333333333,Medium,Normal Users,Email Engagement Campaign
234,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
235,Starter,999,0.0142857142857142,Low,At-Risk Users,No Action Needed
236,Starter,999,0.5972012987012987,Medium,At-Risk Users,Provide Product Training
237,Starter,999,0.0039285714285714,Low,At-Risk Users,No Action Needed
238,Starter,999,0.4345,Low,At-Risk Users,No Action Needed
239,Starter,999,0.1889206349206349,Low,At-Risk Users,No Action Needed
240,Professional,2999,0.52,Medium,Normal Users,Email Engagement Campaign
241,Starter,999,0.2032579365079365,Low,At-Risk Users,No Action Needed
242,Starter,999,0.3332857142857142,Low,Normal Users,No Action Needed
243,Starter,999,0.6757499999999999,Medium,Normal Users,Email Engagement Campaign
244,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
245,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
246,Starter,999,0.4436190476190476,Low,At-Risk Users,No Action Needed
247,Professional,2999,0.03,Low,Normal Users,No Action Needed
248,Starter,999,0.94,High,Normal Users,Offer 20% Discount
249,Starter,999,0.3239285714285714,Low,At-Risk Users,No Action Needed
250,Starter,999,0.96,High,At-Risk Users,Offer 20% Discount
251,Professional,2999,0.236626984126984,Low,At-Risk Users,No Action Needed
252,Starter,999,0.7173798701298699,Medium,At-Risk Users,Provide Product Training
253,Professional,2999,0.005,Low,At-Risk Users,No Action Needed
254,Starter,999,0.7415277777777779,Medium,At-Risk Users,Provide Product Training
255,Starter,999,0.953,High,At-Risk Users,Offer 20% Discount
256,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
257,Starter,999,0.1375476827094473,Low,At-Risk Users,No Action Needed
258,Professional,2999,0.0,Low,Normal Users,No Action Needed
259,Starter,999,0.11,Low,Normal Users,No Action Needed
260,Starter,999,0.8508333333333331,High,Normal Users,Offer 20% Discount
261,Professional,2999,0.0166666666666666,Low,At-Risk Users,No Action Needed
262,Professional,2999,0.0,Low,Normal Users,No Action Needed
263,Starter,999,0.8003333333333333,High,At-Risk Users,Offer 20% Discount
264,Starter,999,0.8389909812409811,High,Normal Users,Offer 20% Discount
265,Starter,999,0.383797619047619,Low,At-Risk Users,No Action Needed
266,Starter,999,0.0,Low,At-Risk Users,No Action Needed
267,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
268,Starter,999,0.575,Medium,At-Risk Users,Provide Product Training
269,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
270,Starter,999,0.7731150793650791,Medium,At-Risk Users,Provide Product Training
271,Starter,999,0.2839764402264401,Low,At-Risk Users,No Action Needed
272,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
273,Enterprise,9999,0.1416666666666666,Low,Power Users,Upsell Enterprise Plan
274,Professional,2999,0.5007128427128426,Medium,At-Risk Users,Provide Product Training
275,Starter,999,0.0,Low,At-Risk Users,No Action Needed
276,Starter,999,0.2427709235209235,Low,At-Risk Users,No Action Needed
277,Enterprise,9999,0.01,Low,Power Users,Upsell Enterprise Plan
278,Starter,999,0.01,Low,Normal Users,No Action Needed
279,Starter,999,0.7731150793650791,Medium,At-Risk Users,Provide Product Training
280,Starter,999,0.0027272727272727,Low,At-Risk Users,No Action Needed
281,Starter,999,0.1956388888888888,Low,At-Risk Users,No Action Needed
282,Starter,999,0.4333809523809525,Low,At-Risk Users,No Action Needed
283,Professional,2999,0.0,Low,Normal Users,No Action Needed
284,Starter,999,0.2228086358086357,Low,At-Risk Users,No Action Needed
285,Professional,2999,0.0,Low,Normal Users,No Action Needed
286,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
287,Starter,999,0.2892857142857142,Low,At-Risk Users,No Action Needed
288,Starter,999,0.57,Medium,At-Risk Users,Provide Product Training
289,Starter,999,0.2255952380952381,Low,At-Risk Users,No Action Needed
290,Starter,999,0.3030092130092128,Low,Normal Users,No Action Needed
291,Starter,999,0.01,Low,At-Risk Users,No Action Needed
292,Starter,999,0.5249574314574313,Medium,At-Risk Users,Provide Product Training
293,Professional,2999,0.03,Low,Normal Users,No Action Needed
294,Starter,999,0.0,Low,At-Risk Users,No Action Needed
295,Starter,999,0.01,Low,Normal Users,No Action Needed
296,Professional,2999,0.02,Low,At-Risk Users,No Action Needed
297,Starter,999,0.4611666666666666,Low,At-Risk Users,No Action Needed
298,Starter,999,0.6236190476190474,Medium,At-Risk Users,Provide Product Training
299,Starter,999,0.02,Low,Normal Users,No Action Needed
300,Professional,2999,0.2964047619047619,Low,Normal Users,No Action Needed
301,Starter,999,0.6475357142857141,Medium,At-Risk Users,Provide Product Training
302,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
303,Professional,2999,0.01,Low,At-Risk Users,No Action Needed
304,Starter,999,0.01,Low,At-Risk Users,No Action Needed
305,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
306,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
307,Professional,2999,0.72,Medium,Normal Users,Email Engagement Campaign
308,Starter,999,0.2741031746031745,Low,At-Risk Users,No Action Needed
309,Professional,2999,0.2,Low,At-Risk Users,No Action Needed
310,Starter,999,0.1305238095238095,Low,At-Risk Users,No Action Needed
311,Starter,999,0.04,Low,Normal Users,No Action Needed
312,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
313,Starter,999,0.0783333333333333,Low,At-Risk Users,No Action Needed
314,Professional,2999,0.01,Low,Normal Users,No Action Needed
315,Professional,2999,0.01,Low,At-Risk Users,No Action Needed
316,Professional,2999,0.0066666666666666,Low,At-Risk Users,No Action Needed
317,Professional,2999,0.11,Low,Normal Users,No Action Needed
318,Starter,999,0.0183333333333333,Low,At-Risk Users,No Action Needed
319,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
320,Starter,999,0.2128896389558153,Low,At-Risk Users,No Action Needed
321,Starter,999,0.7218809523809524,Medium,Normal Users,Email Engagement Campaign
322,Starter,999,0.2305097402597402,Low,At-Risk Users,No Action Needed
323,Enterprise,9999,0.0758333333333333,Low,Power Users,Upsell Enterprise Plan
324,Starter,999,0.1216666666666666,Low,Normal Users,No Action Needed
325,Starter,999,0.2779047619047618,Low,At-Risk Users,No Action Needed
326,Starter,999,0.1362052392052391,Low,At-Risk Users,No Action Needed
327,Professional,2999,0.0,Low,Normal Users,No Action Needed
328,Starter,999,0.01,Low,Normal Users,No Action Needed
329,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
330,Professional,2999,0.5071428571428571,Medium,At-Risk Users,Provide Product Training
331,Starter,999,0.012,Low,At-Risk Users,No Action Needed
332,Starter,999,0.0,Low,At-Risk Users,No Action Needed
333,Professional,2999,0.0326666666666666,Low,At-Risk Users,No Action Needed
334,Professional,2999,0.03,Low,At-Risk Users,No Action Needed
335,Starter,999,0.4495155122655124,Low,At-Risk Users,No Action Needed
336,Professional,2999,0.0033333333333333,Low,At-Risk Users,No Action Needed
337,Professional,2999,0.0326666666666666,Low,At-Risk Users,No Action Needed
338,Professional,2999,0.0025,Low,At-Risk Users,No Action Needed
339,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
340,Professional,2999,0.0,Low,Normal Users,No Action Needed
341,Starter,999,0.018,Low,Normal Users,No Action Needed
342,Starter,999,0.2485039682539682,Low,Normal Users,No Action Needed
343,Starter,999,0.6473333333333333,Medium,At-Risk Users,Provide Product Training
344,Professional,2999,0.02,Low,Normal Users,No Action Needed
345,Starter,999,0.3529523809523809,Low,At-Risk Users,No Action Needed
346,Starter,999,0.0076190476190476,Low,At-Risk Users,No Action Needed
347,Starter,999,0.0,Low,At-Risk Users,No Action Needed
348,Professional,2999,0.7,Medium,Normal Users,Email Engagement Campaign
349,Professional,2999,0.06,Low,At-Risk Users,No Action Needed
350,Professional,2999,0.01,Low,At-Risk Users,No Action Needed
351,Starter,999,0.2456666666666666,Low,At-Risk Users,No Action Needed
352,Starter,999,0.6935833333333334,Medium,Normal Users,Email Engagement Campaign
353,Starter,999,0.0,Low,Normal Users,No Action Needed
354,Starter,999,0.7173798701298699,Medium,At-Risk Users,Provide Product Training
355,Professional,2999,0.01,Low,Normal Users,No Action Needed
356,Enterprise,9999,0.1,Low,Power Users,Upsell Enterprise Plan
357,Starter,999,0.29,Low,At-Risk Users,No Action Needed
358,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
359,Starter,999,0.5021115551115554,Medium,At-Risk Users,Provide Product Training
360,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
361,Professional,2999,0.01,Low,Normal Users,No Action Needed
362,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
363,Professional,2999,0.15,Low,At-Risk Users,No Action Needed
364,Professional,2999,0.03,Low,At-Risk Users,No Action Needed
365,Starter,999,0.1701666666666667,Low,At-Risk Users,No Action Needed
366,Starter,999,0.3406190476190476,Low,At-Risk Users,No Action Needed
367,Starter,999,0.0,Low,Normal Users,No Action Needed
368,Starter,999,0.2421468253968253,Low,At-Risk Users,No Action Needed
369,Professional,2999,0.4457142857142857,Low,At-Risk Users,No Action Needed
370,Starter,999,0.4103260905760907,Low,At-Risk Users,No Action Needed
371,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
372,Professional,2999,0.054,Low,Normal Users,No Action Needed
373,Professional,2999,0.0,Low,Normal Users,No Action Needed
374,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
375,Starter,999,0.02,Low,At-Risk Users,No Action Needed
376,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
377,Enterprise,9999,0.22,Low,Power Users,Upsell Enterprise Plan
378,Professional,2999,0.01,Low,Normal Users,No Action Needed
379,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
380,Professional,2999,0.03,Low,Normal Users,No Action Needed
381,Professional,2999,0.2612936507936507,Low,At-Risk Users,No Action Needed
382,Professional,2999,0.0,Low,Normal Users,No Action Needed
383,Starter,999,0.88,High,At-Risk Users,Offer 20% Discount
384,Starter,999,0.72,Medium,Normal Users,Email Engagement Campaign
385,Starter,999,0.59,Medium,Normal Users,Email Engagement Campaign
386,Starter,999,0.02,Low,At-Risk Users,No Action Needed
387,Starter,999,0.4908809523809523,Low,At-Risk Users,No Action Needed
388,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
389,Starter,999,0.3217936703819056,Low,At-Risk Users,No Action Needed
390,Professional,2999,0.21,Low,Normal Users,No Action Needed
391,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
392,Enterprise,9999,0.6480952380952381,Medium,Power Users,Email Engagement Campaign
393,Professional,2999,0.07,Low,At-Risk Users,No Action Needed
394,Starter,999,0.0714761904761904,Low,Normal Users,No Action Needed
395,Starter,999,0.06,Low,Normal Users,No Action Needed
396,Starter,999,0.2796666666666666,Low,At-Risk Users,No Action Needed
397,Professional,2999,0.02,Low,At-Risk Users,No Action Needed
398,Starter,999,0.6733333333333333,Medium,At-Risk Users,Provide Product Training
399,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
400,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
401,Starter,999,0.5114963369963373,Medium,At-Risk Users,Provide Product Training
402,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
403,Starter,999,0.3620457875457875,Low,At-Risk Users,No Action Needed
404,Starter,999,0.0408333333333333,Low,At-Risk Users,No Action Needed
405,Starter,999,0.031,Low,At-Risk Users,No Action Needed
406,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
407,Starter,999,0.3735,Low,At-Risk Users,No Action Needed
408,Professional,2999,0.0,Low,Normal Users,No Action Needed
409,Starter,999,0.8208333333333334,High,Normal Users,Offer 20% Discount
410,Starter,999,0.11,Low,Normal Users,No Action Needed
411,Starter,999,0.0027272727272727,Low,At-Risk Users,No Action Needed
412,Enterprise,9999,0.2,Low,Power Users,Upsell Enterprise Plan
413,Professional,2999,0.69,Medium,At-Risk Users,Provide Product Training
414,Professional,2999,0.0,Low,Normal Users,No Action Needed
415,Starter,999,0.4760714285714285,Low,At-Risk Users,No Action Needed
416,Starter,999,0.0714761904761904,Low,Normal Users,No Action Needed
417,Starter,999,0.1441904761904762,Low,Normal Users,No Action Needed
418,Professional,2999,0.0033333333333333,Low,At-Risk Users,No Action Needed
