user_id,plan_type,monthly_revenue,total_usage,ticket_count,segment
72,Starter,999,74,1.0,At-Risk Users
73,Professional,2999,107,2.0,At-Risk Users
74,Professional,2999,156,5.0,Normal Users
75,Professional,2999,168,2.0,At-Risk Users
76,Professional,2999,98,2.0,At-Risk Users
77,Professional,2999,184,2.0,At-Risk Users
78,Professional,2999,68,2.0,At-Risk Users
79,Starter,999,199,2.0,At-Risk Users
80,Starter,999,266,3.0,Normal Users
81,Starter,999,162,6.0,Normal Users
82,Professional,2999,94,1.0,At-Risk Users
83,Enterprise,9999,98,0.0,Power Users
84,Enterprise,9999,133,2.0,Power Users
85,Professional,2999,193,4.0,Normal Users
86,Professional,2999,192,0.0,At-Risk Users
87,Starter,999,114,3.0,Normal Users
88,Enterprise,9999,177,1.0,Power Users
89,Starter,999,170,0.0,At-Risk Users
90,Professional,2999,211,4.0,Normal Users
91,Starter,999,212,3.0,Normal Users
92,Starter,999,67,0.0,At-Risk Users
93,Enterprise,9999,275,0.0,Power Users
94,Professional,2999,78,2.0,At-Risk Users
95,Enterprise,9999,135,2.0,Power Users
96,Professional,2999,213,1.0,At-Risk Users
97,Professional,2999,167,2.0,At-Risk Users
98,Professional,2999,189,9.0,Normal Users
99,Starter,999,203,1.0,At-Risk Users
100,Starter,999,99,0.0,At-Risk Users
101,Professional,2999,184,4.0,Normal Users
102,Professional,2999,124,1.0,At-Risk Users
103,Professional,2999,212,1.0,At-Risk Users
104,Professional,2999,162,1.0,At-Risk Users
105,Professional,2999,106,2.0,At-Risk Users
106,Starter,999,95,2.0,At-Risk Users
107,Starter,999,189,1.0,At-Risk Users
108,Starter,999,181,1.0,At-Risk Users
109,Enterprise,9999,165,4.0,Power Users
110,Professional,2999,57,1.0,At-Risk Users
111,Professional,2999,85,0.0,At-Risk Users
112,Professional,2999,183,2.0,At-Risk Users
113,Starter,999,156,4.0,Normal Users
114,Enterprise,9999,139,0.0,Power Users
115,Professional,2999,164,4.0,Normal Users
116,Starter,999,79,3.0,Normal Users
117,Professional,2999,116,2.0,At-Risk Users
118,Starter,999,176,0.0,At-Risk Users
119,Starter,999,172,4.0,Normal Users
120,Starter,999,42,2.0,At-Risk Users
121,Starter,999,104,3.0,Normal Users
122,Starter,999,69,2.0,At-Risk Users
123,Starter,999,136,2.0,At-Risk Users
124,Starter,999,90,1.0,At-Risk Users
125,Enterprise,9999,125,1.0,Power Users
126,Starter,999,158,1.0,At-Risk Users
127,Starter,999,160,5.0,Normal Users
128,Starter,999,139,2.0,At-Risk Users
129,Starter,999,242,1.0,At-Risk Users
130,Starter,999,130,0.0,At-Risk Users
131,Starter,999,167,0.0,At-Risk Users
132,Enterprise,9999,204,1.0,Power Users
133,Starter,999,77,1.0,At-Risk Users
134,Starter,999,185,1.0,At-Risk Users
135,Enterprise,9999,217,5.0,Power Users
136,Starter,999,148,1.0,At-Risk Users
137,Starter,999,158,3.0,Normal Users
138,Starter,999,88,4.0,Normal Users
139,Professional,2999,134,4.0,Normal Users
140,Starter,999,151,6.0,Normal Users
141,Starter,999,188,1.0,At-Risk Users
142,Starter,999,109,3.0,Normal Users
143,Professional,2999,184,3.0,Normal Users
144,Starter,999,153,0.0,At-Risk Users
145,Starter,999,110,3.0,Normal Users
146,Starter,999,104,2.0,At-Risk Users
147,Starter,999,128,1.0,At-Risk Users
148,Starter,999,126,0.0,At-Risk Users
149,Professional,2999,99,5.0,Normal Users
150,Enterprise,9999,105,2.0,Power Users
151,Enterprise,9999,192,3.0,Power Users
152,Enterprise,9999,109,1.0,Power Users
153,Starter,999,192,0.0,At-Risk Users
154,Starter,999,166,4.0,Normal Users
155,Enterprise,9999,116,2.0,Power Users
156,Starter,999,128,1.0,At-Risk Users
157,Professional,2999,162,2.0,At-Risk Users
158,Starter,999,172,2.0,At-Risk Users
159,Professional,2999,94,4.0,Normal Users
160,Starter,999,94,4.0,Normal Users
161,Starter,999,106,2.0,At-Risk Users
162,Enterprise,9999,158,3.0,Power Users
163,Enterprise,9999,192,2.0,Power Users
164,Starter,999,107,1.0,At-Risk Users
165,Starter,999,132,3.0,Normal Users
166,Starter,999,71,5.0,Normal Users
167,Professional,2999,108,2.0,At-Risk Users
168,Starter,999,188,4.0,Normal Users
169,Starter,999,101,2.0,At-Risk Users
170,Starter,999,139,3.0,Normal Users
171,Professional,2999,180,1.0,At-Risk Users
172,Starter,999,170,1.0,At-Risk Users
173,Professional,2999,133,1.0,At-Risk Users
174,Enterprise,9999,99,3.0,Power Users
175,Starter,999,213,5.0,Normal Users
176,Starter,999,193,2.0,At-Risk Users
177,Enterprise,9999,99,1.0,Power Users
178,Starter,999,143,1.0,At-Risk Users
179,Starter,999,244,1.0,At-Risk Users
180,Professional,2999,218,2.0,At-Risk Users
181,Professional,2999,91,2.0,At-Risk Users
182,Professional,2999,137,1.0,At-Risk Users
183,Starter,999,180,3.0,Normal Users
184,Starter,999,156,3.0,Normal Users
185,Starter,999,84,1.0,At-Risk Users
186,Professional,2999,109,1.0,At-Risk Users
187,Starter,999,255,0.0,At-Risk Users
188,Starter,999,83,3.0,Normal Users
189,Professional,2999,133,2.0,At-Risk Users
190,Professional,2999,242,0.0,At-Risk Users
191,Enterprise,9999,205,1.0,Power Users
192,Starter,999,132,5.0,Normal Users
193,Professional,2999,261,2.0,At-Risk Users
194,Starter,999,113,5.0,Normal Users
195,Enterprise,9999,132,3.0,Power Users
196,Enterprise,9999,185,3.0,Power Users
197,Starter,999,119,1.0,At-Risk Users
198,Starter,999,173,1.0,At-Risk Users
199,Starter,999,147,5.0,Normal Users
200,Starter,999,134,0.0,At-Risk Users
201,Starter,999,182,3.0,Normal Users
202,Starter,999,168,0.0,At-Risk Users
203,Starter,999,189,4.0,Normal Users
204,Starter,999,182,3.0,Normal Users
205,Starter,999,126,1.0,At-Risk Users
206,Enterprise,9999,226,4.0,Power Users
207,Professional,2999,177,3.0,Normal Users
208,Professional,2999,194,2.0,At-Risk Users
209,Starter,999,119,1.0,At-Risk Users
210,Professional,2999,164,1.0,At-Risk Users
211,Starter,999,255,0.0,At-Risk Users
212,Starter,999,147,3.0,Normal Users
213,Starter,999,129,1.0,At-Risk Users
214,Starter,999,191,3.0,Normal Users
215,Starter,999,258,3.0,Normal Users
216,Starter,999,81,2.0,At-Risk Users
217,Professional,2999,259,0.0,At-Risk Users
218,Professional,2999,33,4.0,Normal Users
219,Professional,2999,290,2.0,At-Risk Users
220,Starter,999,217,2.0,At-Risk Users
221,Starter,999,233,6.0,Normal Users
222,Professional,2999,127,3.0,Normal Users
223,Starter,999,132,3.0,Normal Users
224,Professional,2999,185,2.0,At-Risk Users
225,Starter,999,184,2.0,At-Risk Users
226,Starter,999,54,2.0,At-Risk Users
227,Starter,999,181,2.0,At-Risk Users
228,Starter,999,163,3.0,Normal Users
229,Starter,999,120,2.0,At-Risk Users
230,Starter,999,181,0.0,At-Risk Users
231,Starter,999,329,0.0,At-Risk Users
232,Starter,999,218,0.0,At-Risk Users
233,Starter,999,144,5.0,Normal Users
234,Enterprise,9999,97,2.0,Power Users
235,Starter,999,286,1.0,At-Risk Users
236,Starter,999,98,2.0,At-Risk Users
237,Starter,999,139,2.0,At-Risk Users
238,Starter,999,91,0.0,At-Risk Users
239,Starter,999,181,2.0,At-Risk Users
240,Professional,2999,194,4.0,Normal Users
241,Starter,999,124,1.0,At-Risk Users
242,Starter,999,130,3.0,Normal Users
243,Starter,999,101,3.0,Normal Users
244,Enterprise,9999,255,0.0,Power Users
245,Professional,2999,216,1.0,At-Risk Users
246,Starter,999,55,2.0,At-Risk Users
247,Professional,2999,109,3.0,Normal Users
248,Starter,999,105,5.0,Normal Users
249,Starter,999,192,2.0,At-Risk Users
250,Starter,999,303,2.0,At-Risk Users
251,Professional,2999,95,2.0,At-Risk Users
252,Starter,999,115,2.0,At-Risk Users
253,Professional,2999,172,1.0,At-Risk Users
254,Starter,999,163,2.0,At-Risk Users
255,Starter,999,69,1.0,At-Risk Users
256,Enterprise,9999,172,3.0,Power Users
257,Starter,999,172,1.0,At-Risk Users
258,Professional,2999,125,3.0,Normal Users
259,Starter,999,135,5.0,Normal Users
260,Starter,999,165,4.0,Normal Users
261,Professional,2999,108,1.0,At-Risk Users
262,Professional,2999,318,3.0,Normal Users
263,Starter,999,111,2.0,At-Risk Users
264,Starter,999,149,3.0,Normal Users
265,Starter,999,185,2.0,At-Risk Users
266,Starter,999,174,2.0,At-Risk Users
267,Enterprise,9999,237,4.0,Power Users
268,Starter,999,219,1.0,At-Risk Users
269,Enterprise,9999,179,3.0,Power Users
270,Starter,999,131,1.0,At-Risk Users
271,Starter,999,193,1.0,At-Risk Users
272,Enterprise,9999,161,1.0,Power Users
273,Enterprise,9999,182,1.0,Power Users
274,Professional,2999,139,1.0,At-Risk Users
275,Starter,999,177,2.0,At-Risk Users
276,Starter,999,175,1.0,At-Risk Users
277,Enterprise,9999,165,2.0,Power Users
278,Starter,999,112,3.0,Normal Users
279,Starter,999,131,1.0,At-Risk Users
280,Starter,999,192,1.0,At-Risk Users
281,Starter,999,184,1.0,At-Risk Users
282,Starter,999,188,2.0,At-Risk Users
283,Professional,2999,154,4.0,Normal Users
284,Starter,999,127,2.0,At-Risk Users
285,Professional,2999,138,3.0,Normal Users
286,Professional,2999,154,0.0,At-Risk Users
287,Starter,999,107,2.0,At-Risk Users
288,Starter,999,253,0.0,At-Risk Users
289,Starter,999,70,1.0,At-Risk Users
290,Starter,999,167,3.0,Normal Users
291,Starter,999,99,0.0,At-Risk Users
292,Starter,999,144,1.0,At-Risk Users
293,Professional,2999,67,3.0,Normal Users
294,Starter,999,152,2.0,At-Risk Users
295,Starter,999,292,3.0,Normal Users
296,Professional,2999,128,1.0,At-Risk Users
297,Starter,999,45,2.0,At-Risk Users
298,Starter,999,130,2.0,At-Risk Users
299,Starter,999,291,3.0,Normal Users
300,Professional,2999,128,3.0,Normal Users
301,Starter,999,118,2.0,At-Risk Users
302,Enterprise,9999,209,2.0,Power Users
303,Professional,2999,90,2.0,At-Risk Users
304,Starter,999,99,0.0,At-Risk Users
305,Professional,2999,274,1.0,At-Risk Users
306,Enterprise,9999,197,3.0,Power Users
307,Professional,2999,148,3.0,Normal Users
308,Starter,999,193,2.0,At-Risk Users
309,Professional,2999,192,1.0,At-Risk Users
310,Starter,999,88,2.0,At-Risk Users
311,Starter,999,109,4.0,Normal Users
312,Professional,2999,155,1.0,At-Risk Users
313,Starter,999,110,1.0,At-Risk Users
314,Professional,2999,230,4.0,Normal Users
315,Professional,2999,132,1.0,At-Risk Users
316,Professional,2999,228,1.0,At-Risk Users
317,Professional,2999,192,4.0,Normal Users
318,Starter,999,43,2.0,At-Risk Users
319,Enterprise,9999,97,1.0,Power Users
320,Starter,999,146,2.0,At-Risk Users
321,Starter,999,233,3.0,Normal Users
322,Starter,999,105,1.0,At-Risk Users
323,Enterprise,9999,172,1.0,Power Users
324,Starter,999,125,5.0,Normal Users
325,Starter,999,117,2.0,At-Risk Users
326,Starter,999,141,2.0,At-Risk Users
327,Professional,2999,79,6.0,Normal Users
328,Starter,999,146,3.0,Normal Users
329,Professional,2999,226,0.0,At-Risk Users
330,Professional,2999,133,0.0,At-Risk Users
331,Starter,999,185,1.0,At-Risk Users
332,Starter,999,174,2.0,At-Risk Users
333,Professional,2999,136,2.0,At-Risk Users
334,Professional,2999,129,0.0,At-Risk Users
335,Starter,999,138,1.0,At-Risk Users
336,Professional,2999,119,1.0,At-Risk Users
337,Professional,2999,136,2.0,At-Risk Users
338,Professional,2999,114,0.0,At-Risk Users
339,Professional,2999,171,1.0,At-Risk Users
340,Professional,2999,121,4.0,Normal Users
341,Starter,999,149,4.0,Normal Users
342,Starter,999,152,4.0,Normal Users
343,Starter,999,251,2.0,At-Risk Users
344,Professional,2999,202,4.0,Normal Users
345,Starter,999,122,1.0,At-Risk Users
346,Starter,999,62,2.0,At-Risk Users
347,Starter,999,164,1.0,At-Risk Users
348,Professional,2999,75,3.0,Normal Users
349,Professional,2999,68,2.0,At-Risk Users
350,Professional,2999,151,2.0,At-Risk Users
351,Starter,999,242,2.0,At-Risk Users
352,Starter,999,143,4.0,Normal Users
353,Starter,999,167,6.0,Normal Users
354,Starter,999,115,2.0,At-Risk Users
355,Professional,2999,81,3.0,Normal Users
356,Enterprise,9999,132,1.0,Power Users
357,Starter,999,232,0.0,At-Risk Users
358,Professional,2999,194,1.0,At-Risk Users
359,Starter,999,178,2.0,At-Risk Users
360,Professional,2999,323,2.0,At-Risk Users
361,Professional,2999,213,4.0,Normal Users
362,Professional,2999,183,1.0,At-Risk Users
363,Professional,2999,203,2.0,At-Risk Users
364,Professional,2999,115,2.0,At-Risk Users
365,Starter,999,149,0.0,At-Risk Users
366,Starter,999,95,0.0,At-Risk Users
367,Starter,999,175,4.0,Normal Users
368,Starter,999,120,0.0,At-Risk Users
369,Professional,2999,113,1.0,At-Risk Users
370,Starter,999,119,1.0,At-Risk Users
371,Professional,2999,184,1.0,At-Risk Users
372,Professional,2999,236,3.0,Normal Users
373,Professional,2999,114,3.0,Normal Users
374,Professional,2999,105,1.0,At-Risk Users
375,Starter,999,106,2.0,At-Risk Users
376,Professional,2999,147,2.0,At-Risk Users
377,Enterprise,9999,125,2.0,Power Users
378,Professional,2999,83,3.0,Normal Users
379,Enterprise,9999,168,1.0,Power Users
380,Professional,2999,348,3.0,Normal Users
381,Professional,2999,126,1.0,At-Risk Users
382,Professional,2999,295,3.0,Normal Users
383,Starter,999,245,1.0,At-Risk Users
384,Starter,999,185,4.0,Normal Users
385,Starter,999,96,5.0,Normal Users
386,Starter,999,269,2.0,At-Risk Users
387,Starter,999,48,1.0,At-Risk Users
388,Professional,2999,149,1.0,At-Risk Users
389,Starter,999,119,2.0,At-Risk Users
390,Professional,2999,230,3.0,Normal Users
391,Professional,2999,194,0.0,At-Risk Users
392,Enterprise,9999,152,1.0,Power Users
393,Professional,2999,79,1.0,At-Risk Users
394,Starter,999,96,4.0,Normal Users
395,Starter,999,225,5.0,Normal Users
396,Starter,999,113,0.0,At-Risk Users
397,Professional,2999,208,0.0,At-Risk Users
398,Starter,999,275,2.0,At-Risk Users
399,Professional,2999,107,0.0,At-Risk Users
400,Professional,2999,154,1.0,At-Risk Users
401,Starter,999,125,2.0,At-Risk Users
402,Enterprise,9999,182,2.0,Power Users
403,Starter,999,168,1.0,At-Risk Users
404,Starter,999,197,0.0,At-Risk Users
405,Starter,999,217,0.0,At-Risk Users
406,Professional,2999,173,1.0,At-Risk Users
407,Starter,999,90,2.0,At-Risk Users
408,Professional,2999,126,3.0,Normal Users
409,Starter,999,186,3.0,Normal Users
410,Starter,999,90,6.0,Normal Users
411,Starter,999,192,1.0,At-Risk Users
412,Enterprise,9999,249,1.0,Power Users
413,Professional,2999,201,2.0,At-Risk Users
414,Professional,2999,167,4.0,Normal Users
415,Starter,999,225,2.0,At-Risk Users
416,Starter,999,96,4.0,Normal Users
417,Starter,999,207,3.0,Normal Users
418,Professional,2999,119,1.0,At-Risk Users
419,Starter,999,244,2.0,At-Risk Users
420,Starter,999,200,0.0,At-Risk Users
421,Starter,999,148,1.0,At-Risk Users
422,Starter,999,163,1.0,At-Risk Users
423,Starter,999,314,2.0,At-Risk Users
424,Professional,2999,157,2.0,At-Risk Users
425,Starter,999,225,1.0,At-Risk Users
426,Professional,2999,206,1.0,At-Risk Users
427,Starter,999,155,0.0,At-Risk Users
428,Starter,999,87,1.0,At-Risk Users
429,Starter,999,108,3.0,Normal Users
430,Starter,999,117,3.0,Normal Users
431,Professional,2999,77,2.0,At-Risk Users
432,Starter,999,141,1.0,At-Risk Users
433,Professional,2999,169,2.0,At-Risk Users
434,Starter,999,198,3.0,Normal Users
435,Starter,999,183,1.0,At-Risk Users
436,Professional,2999,213,4.0,Normal Users
437,Starter,999,103,1.0,At-Risk Users
438,Starter,999,97,2.0,At-Risk Users
439,Professional,2999,158,4.0,Normal Users
440,Starter,999,84,1.0,At-Risk Users
441,Professional,2999,70,3.0,Normal Users
442,Professional,2999,95,2.0,At-Risk Users
443,Starter,999,173,1.0,At-Risk Users
444,Professional,2999,151,3.0,Normal Users
445,Professional,2999,117,5.0,Normal Users
446,Professional,2999,194,1.0,At-Risk Users
447,Starter,999,101,1.0,At-Risk Users
448,Starter,999,126,2.0,At-Risk Users
449,Professional,2999,171,1.0,At-Risk Users
450,Starter,999,223,1.0,At-Risk Users
451,Starter,999,218,3.0,Normal Users
452,Professional,2999,161,2.0,At-Risk Users
453,Professional,2999,167,0.0,At-Risk Users
454,Starter,999,188,1.0,At-Risk Users
455,Starter,999,103,2.0,At-Risk Users
456,Starter,999,90,3.0,Normal Users
457,Professional,2999,190,1.0,At-Risk Users
458,Professional,2999,131,2.0,At-Risk Users
459,Starter,999,105,1.0,At-Risk Users
460,Professional,2999,85,6.0,Normal Users
461,Starter,999,124,3.0,Normal Users
462,Professional,2999,145,0.0,At-Risk Users
463,Professional,2999,256,1.0,At-Risk Users
464,Starter,999,118,1.0,At-Risk Users
465,Professional,2999,276,2.0,At-Risk Users
466,Starter,999,175,1.0,At-Risk Users
467,Professional,2999,113,4.0,Normal Users
468,Professional,2999,119,2.0,At-Risk Users
469,Starter,999,43,2.0,At-Risk Users
470,Starter,999,140,1.0,At-Risk Users
471,Starter,999,250,5.0,Normal Users
472,Starter,999,170,1.0,At-Risk Users
473,Starter,999,248,2.0,At-Risk Users
474,Professional,2999,225,2.0,At-Risk Users
475,Starter,999,55,1.0,At-Risk Users
476,Starter,999,176,2.0,At-Risk Users
477,Enterprise,9999,236,3.0,Power Users
478,Starter,999,113,1.0,At-Risk Users
479,Starter,999,160,4.0,Normal Users
480,Starter,999,153,5.0,Normal Users
481,Enterprise,9999,143,2.0,Power Users
482,Starter,999,150,3.0,Normal Users
483,Professional,2999,253,1.0,At-Risk Users
484,Starter,999,137,0.0,At-Risk Users
485,Starter,999,214,3.0,Normal Users
486,Professional,2999,210,1.0,At-Risk Users
487,Starter,999,162,3.0,Normal Users
488,Starter,999,145,0.0,At-Risk Users
489,Starter,999,114,1.0,At-Risk Users
490,Starter,999,188,1.0,At-Risk Users
491,Professional,2999,164,0.0,At-Risk Users
492,Starter,999,126,2.0,At-Risk Users
493,Starter,999,165,3.0,Normal Users
494,Starter,999,185,3.0,Normal Users
495,Professional,2999,200,2.0,At-Risk Users
496,Starter,999,302,1.0,At-Risk Users
497,Professional,2999,242,3.0,Normal Users
498,Starter,999,149,1.0,At-Risk Users
499,Starter,999,120,5.0,Normal Users
500,Starter,999,140,1.0,At-Risk Users
501,Professional,2999,26,1.0,At-Risk Users
502,Starter,999,120,2.0,At-Risk Users
503,Professional,2999,206,4.0,Normal Users
504,Professional,2999,199,1.0,At-Risk Users
505,Professional,2999,131,5.0,Normal Users
506,Professional,2999,174,4.0,Normal Users
507,Starter,999,254,3.0,Normal Users
508,Starter,999,189,2.0,At-Risk Users
509,Starter,999,142,0.0,At-Risk Users
510,Starter,999,213,2.0,At-Risk Users
511,Starter,999,157,4.0,Normal Users
512,Professional,2999,144,1.0,At-Risk Users
513,Starter,999,149,3.0,Normal Users
514,Starter,999,290,0.0,At-Risk Users
515,Starter,999,194,3.0,Normal Users
516,Professional,2999,273,0.0,At-Risk Users
517,Starter,999,167,3.0,Normal Users
518,Starter,999,127,4.0,Normal Users
519,Professional,2999,46,3.0,Normal Users
520,Starter,999,331,2.0,At-Risk Users
521,Starter,999,153,5.0,Normal Users
522,Professional,2999,143,1.0,At-Risk Users
523,Starter,999,219,0.0,At-Risk Users
524,Professional,2999,118,2.0,At-Risk Users
525,Starter,999,223,2.0,At-Risk Users
526,Professional,2999,207,2.0,At-Risk Users
527,Starter,999,61,2.0,At-Risk Users
528,Starter,999,147,7.0,Normal Users
529,Starter,999,152,4.0,Normal Users
530,Starter,999,120,1.0,At-Risk Users
531,Professional,2999,127,1.0,At-Risk Users
532,Professional,2999,143,0.0,At-Risk Users
533,Professional,2999,179,0.0,At-Risk Users
534,Starter,999,127,4.0,Normal Users
535,Starter,999,127,2.0,At-Risk Users
536,Starter,999,122,1.0,At-Risk Users
537,Enterprise,9999,149,5.0,Power Users
538,Starter,999,255,2.0,At-Risk Users
539,Professional,2999,139,1.0,At-Risk Users
540,Professional,2999,126,0.0,At-Risk Users
541,Professional,2999,122,0.0,At-Risk Users
542,Starter,999,94,1.0,At-Risk Users
543,Starter,999,99,2.0,At-Risk Users
544,Professional,2999,218,1.0,At-Risk Users
545,Starter,999,145,3.0,Normal Users
546,Starter,999,124,0.0,At-Risk Users
547,Professional,2999,220,3.0,Normal Users
548,Starter,999,143,2.0,At-Risk Users
549,Professional,2999,135,4.0,Normal Users
550,Starter,999,135,1.0,At-Risk Users
551,Enterprise,9999,117,2.0,Power Users
552,Starter,999,134,1.0,At-Risk Users
553,Starter,999,173,1.0,At-Risk Users
554,Enterprise,9999,112,2.0,Power Users
555,Starter,999,152,1.0,At-Risk Users
556,Starter,999,232,2.0,At-Risk Users
557,Starter,999,135,2.0,At-Risk Users
558,Professional,2999,168,3.0,Normal Users
559,Professional,2999,180,1.0,At-Risk Users
560,Starter,999,214,2.0,At-Risk Users
561,Starter,999,117,1.0,At-Risk Users
562,Professional,2999,169,2.0,At-Risk Users
563,Enterprise,9999,111,3.0,Power Users
564,Starter,999,189,0.0,At-Risk Users
565,Starter,999,131,1.0,At-Risk Users
566,Professional,2999,166,3.0,Normal Users
567,Professional,2999,80,1.0,At-Risk Users
568,Starter,999,159,1.0,At-Risk Users
569,Starter,999,165,1.0,At-Risk Users
570,Starter,999,121,1.0,At-Risk Users
571,Starter,999,366,1.0,At-Risk Users
572,Starter,999,100,1.0,At-Risk Users
573,Professional,2999,166,3.0,Normal Users
574,Professional,2999,151,3.0,Normal Users
575,Starter,999,193,1.0,At-Risk Users
576,Professional,2999,185,0.0,At-Risk Users
577,Starter,999,190,3.0,Normal Users
578,Starter,999,92,4.0,Normal Users
579,Starter,999,192,2.0,At-Risk Users
580,Starter,999,132,1.0,At-Risk Users
581,Starter,999,112,0.0,At-Risk Users
582,Starter,999,121,1.0,At-Risk Users
583,Starter,999,179,1.0,At-Risk Users
584,Starter,999,205,0.0,At-Risk Users
585,Starter,999,127,1.0,At-Risk Users
586,Starter,999,230,0.0,At-Risk Users
587,Starter,999,173,2.0,At-Risk Users
588,Starter,999,114,0.0,At-Risk Users
589,Starter,999,213,3.0,Normal Users
590,Professional,2999,190,2.0,At-Risk Users
591,Professional,2999,245,2.0,At-Risk Users
592,Starter,999,126,1.0,At-Risk Users
593,Starter,999,169,5.0,Normal Users
594,Starter,999,192,1.0,At-Risk Users
595,Starter,999,210,3.0,Normal Users
596,Enterprise,9999,162,4.0,Power Users
597,Starter,999,262,0.0,At-Risk Users
598,Starter,999,141,4.0,Normal Users
599,Starter,999,109,3.0,Normal Users
600,Enterprise,9999,170,2.0,Power Users
601,Professional,2999,170,1.0,At-Risk Users
602,Professional,2999,254,0.0,At-Risk Users
603,Starter,999,176,1.0,At-Risk Users
604,Starter,999,93,1.0,At-Risk Users
605,Starter,999,132,2.0,At-Risk Users
606,Professional,2999,165,1.0,At-Risk Users
607,Starter,999,114,1.0,At-Risk Users
608,Professional,2999,138,3.0,Normal Users
609,Enterprise,9999,117,2.0,Power Users
610,Starter,999,167,2.0,At-Risk Users
611,Starter,999,117,0.0,At-Risk Users
612,Starter,999,170,3.0,Normal Users
613,Starter,999,192,1.0,At-Risk Users
614,Starter,999,280,1.0,At-Risk Users
615,Professional,2999,164,1.0,At-Risk Users
616,Starter,999,179,1.0,At-Risk Users
617,Starter,999,202,2.0,At-Risk Users
618,Starter,999,147,3.0,Normal Users
619,Professional,2999,209,0.0,At-Risk Users
620,Starter,999,164,3.0,Normal Users
621,Professional,2999,168,3.0,Normal Users
622,Professional,2999,221,1.0,At-Risk Users
623,Professional,2999,84,1.0,At-Risk Users
624,Starter,999,132,2.0,At-Risk Users
625,Starter,999,252,1.0,At-Risk Users
626,Starter,999,264,5.0,Normal Users
627,Starter,999,112,0.0,At-Risk Users
628,Enterprise,9999,13,2.0,Power Users
629,Enterprise,9999,203,3.0,Power Users
630,Starter,999,154,2.0,At-Risk Users
631,Professional,2999,155,3.0,Normal Users
632,Starter,999,129,2.0,At-Risk Users
633,Starter,999,282,1.0,At-Risk Users
634,Professional,2999,175,5.0,Normal Users
635,Starter,999,107,2.0,At-Risk Users
636,Starter,999,264,2.0,At-Risk Users
637,Starter,999,161,2.0,At-Risk Users
638,Professional,2999,224,3.0,Normal Users
639,Starter,999,172,5.0,Normal Users
640,Professional,2999,137,0.0,At-Risk Users
